area,median_ppsf_latest,price_cagr,gross_yield,volatility,total_return,sharpe_ratio
Dubai South,949.0,0.06959939127419656,0.07526794822816217,0.04579821822712934,0.14486733950235875,2.2897689814543662
Palm Jumeirah,3961.0,0.0938211781217011,0.049757951931864976,0.054916343724967114,0.14357913005356607,1.8861257510571474
Jumeirah Lake Towers,1436.0,0.07023430988652413,0.07208284972475097,0.05675526008779863,0.1423171596112751,1.8027784464910146
Dubai Marina,2180.0,0.0689745250113023,0.06267540719527474,0.05159806069950536,0.13164993220657706,1.7762282334664499
Jumeirah Village Circle,1188.0,0.07253557418120327,0.07858054128963887,0.06437572400808539,0.15111611547084214,1.72605616764615
Dubai Hills Estate,2124.0,0.08126518962918139,0.05870334854691374,0.06048361338965356,0.13996853817609511,1.6528202032518764
Arabian Ranches,1534.0,0.06841081374019753,0.0545876254981815,0.050351954259863926,0.12299843923837903,1.6483657974828188
Business Bay,2193.0,0.07585022388319818,0.06477079186020793,0.0613649902674801,0.1406210157434061,1.639713708171635
Downtown Dubai,2779.0,0.0596467753533938,0.05505198111677492,0.056844123589673216,0.11469875647016872,1.314098129287354
International City,525.0,0.03192417654318369,0.0892494869881541,0.06699211400066414,0.1211736635313378,1.2116898345756495
