area,deals,median_price_aed,median_ppsf_aed,off_plan_share
Business Bay,33,1650000.0,2009.0,0.2727272727272727
Jabal Ali Industrial Second,27,744000.0,1777.0,1.0
City Of Arabia,29,829000.0,1699.0,1.0
Down Town Jabal Ali,30,1164000.0,1638.0,0.9666666666666667
Al Hebiah Fifth,27,1206000.0,1636.0,1.0
Madinat Al Mataar,42,1078000.0,1586.0,1.0
Dubai Marina,21,1700000.0,1584.0,0.09523809523809523
Dubai Industrial City,21,599000.0,1503.0,1.0
Majan,21,1050000.0,1501.0,0.6666666666666666
Jabal Ali First,32,1707000.0,1489.0,0.96875
Arjan,29,799000.0,1478.0,0.7241379310344828
Jumeirah Village Circle,65,1129000.0,1431.0,0.5846153846153846
Dubai South,15,1140000.0,1399.0,0.8666666666666667
Dubai Land Residence Complex,33,693000.0,1312.0,0.7575757575757576
Dubai Sports City,16,700000.0,1021.0,0.125
