transaction_date,area,property_type,bedrooms,size_sqft,off_plan,price_aed,annual_rent_aed
2019-01-01,Dubai Marina,Apartment,1,986.0,True,1367000.0,76600.0
2019-01-01,Business Bay,Apartment,2,1192.0,False,1541000.0,109700.0
2019-01-01,Palm Jumeirah,Apartment,0,367.0,True,789000.0,34900.0
2019-01-01,Palm Jumeirah,Villa,5,4038.0,False,10022000.0,464300.0
2019-01-01,Dubai Marina,Apartment,2,1245.0,False,1841000.0,126700.0
2019-01-02,Downtown Dubai,Apartment,1,992.0,False,2042000.0,109400.0
2019-01-02,Arabian Ranches,Villa,5,3806.0,False,4612000.0,289700.0
2019-01-02,Dubai Hills Estate,Apartment,1,887.0,False,1298000.0,66900.0
2019-01-02,Arabian Ranches,Apartment,3,1246.0,False,1313000.0,79500.0
2019-01-02,Dubai South,Apartment,1,848.0,True,509000.0,42100.0
2019-01-02,Palm Jumeirah,Apartment,1,654.0,False,1512000.0,84500.0
2019-01-02,Arabian Ranches,Villa,3,3194.0,False,2963000.0,156500.0
2019-01-03,Dubai Hills Estate,Apartment,1,771.0,True,1024000.0,59800.0
2019-01-03,Downtown Dubai,Apartment,1,771.0,False,1351000.0,71700.0
2019-01-03,Downtown Dubai,Apartment,0,573.0,False,1181000.0,71100.0
2019-01-03,Jumeirah Village Circle,Apartment,0,472.0,False,297000.0,23400.0
2019-01-03,Jumeirah Village Circle,Apartment,3,1456.0,True,1302000.0,97600.0
2019-01-03,Jumeirah Village Circle,Apartment,0,493.0,False,391000.0,31500.0
2019-01-03,Arabian Ranches,Apartment,0,532.0,False,631000.0,32600.0
2019-01-04,Palm Jumeirah,Apartment,2,1261.0,False,3052000.0,157200.0
2019-01-04,Dubai South,Villa,3,3291.0,False,2268000.0,198500.0
2019-01-04,Business Bay,Apartment,2,1097.0,False,1340000.0,84600.0
2019-01-04,Dubai South,Apartment,2,1472.0,False,986000.0,70800.0
2019-01-05,Jumeirah Village Circle,Apartment,2,1279.0,False,960000.0,68500.0
2019-01-05,International City,Apartment,1,837.0,True,393000.0,33300.0
2019-01-05,Downtown Dubai,Apartment,3,1758.0,False,4075000.0,232200.0
2019-01-05,Jumeirah Lake Towers,Apartment,0,464.0,False,361000.0,31800.0
2019-01-05,Dubai Hills Estate,Apartment,1,717.0,True,909000.0,60100.0
2019-01-07,Jumeirah Lake Towers,Apartment,1,800.0,False,971000.0,88600.0
2019-01-08,Dubai Marina,Apartment,1,933.0,True,1414000.0,85200.0
2019-01-08,Downtown Dubai,Apartment,0,300.0,False,699000.0,46400.0
2019-01-08,Downtown Dubai,Apartment,2,1467.0,False,3366000.0,203000.0
2019-01-08,International City,Apartment,3,1704.0,False,704000.0,60100.0
2019-01-08,Downtown Dubai,Apartment,0,549.0,False,1113000.0,56200.0
2019-01-09,Jumeirah Village Circle,Apartment,2,1297.0,False,1085000.0,86100.0
2019-01-09,International City,Townhouse,5,3318.0,False,1517000.0,119600.0
2019-01-09,Palm Jumeirah,Apartment,2,1319.0,False,2579000.0,119100.0
2019-01-10,Downtown Dubai,Apartment,2,1192.0,False,2665000.0,142200.0
2019-01-10,Jumeirah Village Circle,Apartment,1,934.0,False,917000.0,72000.0
2019-01-11,Jumeirah Lake Towers,Apartment,3,1549.0,False,1486000.0,117500.0
2019-01-11,Palm Jumeirah,Apartment,2,1203.0,False,2288000.0,125500.0
2019-01-11,Downtown Dubai,Apartment,2,1249.0,False,2531000.0,148200.0
2019-01-11,Downtown Dubai,Apartment,0,460.0,False,885000.0,53300.0
2019-01-11,International City,Apartment,1,757.0,True,347000.0,31400.0
2019-01-11,Palm Jumeirah,Apartment,1,911.0,False,1853000.0,77900.0
2019-01-12,Business Bay,Apartment,0,358.0,False,467000.0,28300.0
2019-01-12,Palm Jumeirah,Apartment,3,1594.0,False,3254000.0,148900.0
2019-01-13,Arabian Ranches,Villa,3,3201.0,False,3776000.0,192800.0
2019-01-13,Palm Jumeirah,Apartment,3,1864.0,False,4070000.0,230000.0
2019-01-14,Jumeirah Lake Towers,Apartment,0,483.0,True,437000.0,33400.0
2019-01-14,Palm Jumeirah,Apartment,1,757.0,False,1783000.0,91700.0
2019-01-15,Downtown Dubai,Townhouse,5,3869.0,False,7723000.0,411100.0
2019-01-15,Dubai South,Apartment,3,1620.0,True,955000.0,65900.0
2019-01-15,Dubai Hills Estate,Apartment,0,518.0,False,757000.0,42200.0
2019-01-15,Dubai South,Villa,5,3581.0,False,2261000.0,157700.0
